"date","entry_page","visitors","entrances","visit_duration","bounces","pageviews"
"2026-03-25","/destinations/shenzhen/dapeng-peninsula-hiking-guide/",1,1,0,1,1
"2026-03-25","/ressources/best-time-to-visit/",1,1,0,1,1
"2026-03-25","/destinations/fujian/quanzhou/",1,1,39,0,2
"2026-03-25","/tag/china-travel-tips/",1,1,0,1,1
"2026-03-25","/destinations/sichuan/chengdu-day-trips-leshan-emei/",1,1,0,1,1
"2026-03-25","/tag/longjing-tea/",1,1,0,1,1
"2026-03-25","/destinations/guangxi/yangshuo/cycling-yulong-river-yangshuo-guide/",1,1,0,1,1
"2026-03-25","/destinations/xian/",1,1,0,1,1
"2026-03-25","/tag/tibet-travel-permit/",1,1,0,1,1
"2026-03-25","/tag/altitude-sickness/",1,1,0,1,1
"2026-03-25","/destinations/beijing/beijing-hutong-food-guide/",3,4,346,3,5
"2026-03-25","/tag/alipay-guide/",1,1,0,1,1
"2026-03-25","/destinations/shanghai/",1,1,0,1,1
"2026-03-25","/tag/apple-maps-china/",1,1,0,1,1
"2026-03-25","/destinations/chengdu/chengdu-metro-guide-tourist-tips/",1,1,0,1,1
"2026-03-25","/tag/west-lake/",1,1,0,1,1
"2026-03-25","/destinations/hangzhou/hiking-meijiawu-tea-village-hangzhou/",1,1,0,1,1
"2026-03-25","/privacy-policy/",1,1,0,1,1
"2026-03-25","/tag/hangzhou/",1,1,0,1,1
"2026-03-25","/interests/nature-hiking/hua-shan-hiking-guide-china/",1,1,0,1,1
"2026-03-25","/destinations/xinjiang/",1,1,0,1,1
"2026-03-25","/ressources/safety/first-time-travel-china-solo-female/",1,1,0,1,1
"2026-03-25","/destinations/chongqing/",1,1,0,1,1
"2026-03-25","/tag/china-travel-2025/",1,1,0,1,1
"2026-03-26","/destinations/chengdu/chengdu-panda-volunteer-guide/",1,1,0,1,1
"2026-03-26","/tag/everest-base-camp/",1,1,0,1,1
"2026-03-26","/tag/jiangxi-travel/",1,1,0,1,1
"2026-03-26","/interests/culture-history/suzhou-gardens-guide-china-travel-tips/",2,2,0,2,2
"2026-03-26","/tag/taoxichuan-art-avenue/",1,1,0,1,1
"2026-03-26","/contact/",1,1,0,1,1
"2026-03-26","/blog/",1,1,0,1,1
"2026-03-26","/destinations/chongqing/chongqing-metro-guide-travel-tips/",1,1,0,1,1
"2026-03-26","/destinations/hainan/",1,1,0,1,1
"2026-03-26","/tag/potala-palace/",1,1,0,1,1
"2026-03-26","/destinations/tibet/7-day-tibet-itinerary-lhasa-everest/",1,1,0,1,1
"2026-03-26","/tag/trip-com/",1,1,0,1,1
"2026-03-26","/destinations/shenzhen/",1,1,0,1,1
"2026-03-26","/tag/sanya/",1,1,0,1,1
"2026-03-26","/destinations/gansu/china-travel-tips-qinghai-gansu-loop/",2,2,0,2,2
"2026-03-26","/tag/tibet-travel/",1,1,0,1,1
"2026-03-26","/tag/hiking-china/",1,1,0,1,1
"2026-03-26","/",1,1,0,1,1
"2026-03-26","/destinations/yunnan/",1,1,0,1,1
"2026-03-26","/tag/shigatse/",1,1,0,1,1
"2026-03-26","/tag/jingdezhen/",1,1,0,1,1
"2026-03-26","/ressources/transport/xiamen-gulangyu-ferry-guide-foreigners/",1,1,0,1,1
"2026-03-26","/tag/pingyao-ancient-city/",1,1,0,1,1
"2026-03-26","/destinations/yunnan/yunnan-mushroom-hotpot-guide-china/",1,1,0,1,1
"2026-03-26","/ressources/budget-logistics/",1,1,0,1,1
"2026-03-26","/tag/lhasa/",1,1,0,1,1
"2026-03-26","/ressources/transport/beijing-shanghai-high-speed-train-guide/",1,1,0,1,1
"2026-03-26","/tag/sanbao-international-ceramic-valley/",1,1,0,1,1
"2026-03-26","/tag/courtyard-hotels/",1,1,0,1,1
"2026-03-26","/tag/china-esim/",1,1,0,1,1
"2026-03-26","/ressources/transport/harbin-to-china-snow-town-guide/",1,1,0,1,1
"2026-03-26","/tag/china-travel-2026/",1,1,0,1,1
"2026-03-26","/tag/china-high-speed-train/",1,1,0,1,1
"2026-03-26","/ressources/accommodation/unique-stays-china-boutique-hotels-guide/",1,1,0,1,1
"2026-03-26","/destinations/guangxi/yangshuo/cycling-yulong-river-yangshuo-guide/",2,2,0,2,2
"2026-03-26","/destinations/chengdu/",1,1,0,1,1
"2026-03-26","/destinations/shanghai/where-to-stay-shanghai-first-time-guide/",1,1,0,1,1
"2026-03-26","/ressources/transport/",1,1,0,1,1
"2026-03-26","/tag/yanoda-rainforest/",1,1,0,1,1
"2026-03-26","/tag/imperial-kiln-museum/",1,1,0,1,1
"2026-03-26","/ressources/apps-tech/china-travel-tips-ordering-coffee/",1,1,0,1,1
"2026-03-26","/tag/local-eats/",1,1,0,1,1
"2026-03-27","/tag/pingyao-food/",1,1,0,1,1
"2026-03-27","/destinations/chongqing/chongqing-metro-guide-travel-tips/",1,1,0,1,1
"2026-03-27","/tag/family-travel-budget/",1,1,0,1,1
"2026-03-27","/interests/nature-hiking/chongqing-wulong-karst-day-trip/",1,1,0,1,1
"2026-03-27","/tag/china-visa-free/",1,1,0,1,1
"2026-03-27","/tag/wuzhishan/",1,1,0,1,1
"2026-03-27","/tag/wang-family-compound/",1,1,0,1,1
"2026-03-27","/destinations/jingdezhen/jingdezhen-travel-guide-china/",2,2,0,2,2
"2026-03-27","/tag/beijing/",1,1,0,1,1
"2026-03-27","/tag/tropical-rainforest-national-park/",1,1,0,1,1
"2026-03-27","/",1,1,47,0,2
"2026-03-27","/tag/hainan/",1,1,0,1,1
"2026-03-27","/interests/food-drink/xian-muslim-quarter-food-guide/",1,1,0,1,1
"2026-03-27","/tag/leifeng-pagoda/",1,1,0,1,1
"2026-03-27","/ressources/transport/xiamen-gulangyu-ferry-guide-foreigners/",3,3,0,3,3
"2026-03-27","/ressources/transport/china-high-speed-train-guide-booking-tips/",2,2,0,2,2
